Time,Front Right,Front Left,Rear Right,Rear Left
1696179790.1149929,2.2694895267486572,3.837354898452759,2.875424385070801,3.7269551753997803
1696179790.2247856,2.269805431365967,3.4497714042663574,2.8755033016204834,3.7268762588500977
1696179790.2665362,2.2696473598480225,3.477884531021118,2.8752665519714355,3.727428913116455
1696179790.2957878,2.2696473598480225,3.4920201301574707,2.875187397003174,3.726560354232788
1696179790.3253407,2.26956844329834,3.5104992389678955,2.875187397003174,3.7273499965667725
1696179790.354968,2.269726276397705,3.5179221630096436,2.8755033016204834,3.728297710418701
1696179790.3847337,2.2696473598480225,3.528583288192749,2.8752665519714355,3.727902889251709
1696179790.414566,2.26956844329834,3.5376646518707275,2.875345468521118,3.727665901184082
1696179790.4448981,2.269726276397705,3.5375068187713623,2.875187397003174,3.727508068084717
1696179790.4756901,2.2696473598480225,3.5386123657226562,2.875187397003174,3.728060722351074
1696179790.5083833,2.2694895267486572,3.5414552688598633,2.875108480453491,3.7271921634674072
1696179790.5389974,2.2694895267486572,3.5429556369781494,2.8752665519714355,3.727508068084717
1696179790.5727878,2.2694106101989746,3.546509265899658,2.875108480453491,3.727428913116455
1696179790.6131663,2.2694895267486572,3.546983242034912,2.875424385070801,3.7277448177337646
1696179790.6488628,2.26956844329834,3.547851800918579,2.8755033016204834,3.7275869846343994
1696179790.6842775,2.2696473598480225,3.5495102405548096,2.875187397003174,3.72727108001709
1696179790.7196214,2.2694895267486572,3.5507736206054688,2.8752665519714355,3.7271921634674072
1696179790.753097,2.269331455230713,3.5510895252227783,2.875108480453491,3.7277448177337646
1696179790.785999,2.26956844329834,3.553379774093628,2.8750295639038086,3.727665901184082
1696179790.8190248,2.2694895267486572,3.558433771133423,2.8750295639038086,3.728376626968384
1696179790.854426,2.2694895267486572,3.5602500438690186,2.875345468521118,3.727508068084717
1696179790.8871944,2.2696473598480225,3.56325101852417,2.8748714923858643,3.7278239727020264
1696179790.9199722,2.269726276397705,3.5640406608581543,2.875187397003174,3.7271132469177246
1696179790.9525447,2.26956844329834,3.5682260990142822,2.8752665519714355,3.7271132469177246
1696179790.9874039,2.26956844329834,3.566962480545044,2.874950647354126,3.7269551753997803
1696179791.0192978,2.2694895267486572,3.570042371749878,2.8752665519714355,3.7273499965667725
1696179791.0510075,2.26956844329834,3.568542003631592,2.875187397003174,3.7271132469177246
1696179791.0838456,2.2694106101989746,3.568305015563965,2.874950647354126,3.7273499965667725
1696179791.1168914,2.26956844329834,3.5703582763671875,2.875108480453491,3.727902889251709
1696179791.1493492,2.2694895267486572,3.5723323822021484,2.8752665519714355,3.728376626968384
1696179791.1878684,2.2694895267486572,3.573122024536133,2.8755033016204834,3.72727108001709
1696179791.2187285,2.269726276397705,3.5739119052886963,2.8750295639038086,3.727428913116455
1696179791.2525463,2.2696473598480225,3.5755701065063477,2.875108480453491,3.7278239727020264
1696179791.2904263,2.26956844329834,3.576991558074951,2.875108480453491,3.7267181873321533
1696179791.3268657,2.2696473598480225,3.580071449279785,2.874950647354126,3.7271921634674072
1696179791.3631532,2.2694895267486572,3.5803873538970947,2.8752665519714355,3.727428913116455
1696179791.3986514,2.26956844329834,3.581019163131714,2.874950647354126,3.72727108001709
1696179791.4328744,2.2694106101989746,3.5806243419647217,2.875345468521118,3.7275869846343994
1696179791.4668505,2.26956844329834,3.579834461212158,2.875108480453491,3.7273499965667725
1696179791.500451,2.2696473598480225,3.580782175064087,2.875345468521118,3.727902889251709
1696179791.5371108,2.269726276397705,3.5814929008483887,2.8750295639038086,3.727034091949463
1696179791.5694487,2.2696473598480225,3.58251953125,2.875108480453491,3.727665901184082
1696179791.600972,2.269331455230713,3.582914352416992,2.875187397003174,3.7277448177337646
1696179791.6334324,2.2694106101989746,3.5826773643493652,2.875187397003174,3.727665901184082
1696179791.666575,2.269726276397705,3.5824406147003174,2.875108480453491,3.727508068084717
1696179791.6989598,2.26956844329834,3.5822036266326904,2.8752665519714355,3.7268762588500977
1696179791.7317522,2.26956844329834,3.5802295207977295,2.875424385070801,3.7277448177337646
1696179791.7647173,2.2694895267486572,3.580071449279785,2.8752665519714355,3.727428913116455
1696179791.797683,2.2696473598480225,3.5813350677490234,2.875108480453491,3.728297710418701
1696179791.829824,2.2696473598480225,3.581176996231079,2.875345468521118,3.727508068084717
1696179791.8656244,2.269726276397705,3.5846517086029053,2.875345468521118,3.727902889251709
1696179791.8974988,2.2696473598480225,3.584967613220215,2.8752665519714355,3.727665901184082
1696179791.9304304,2.2696473598480225,3.5863101482391357,2.8752665519714355,3.7279818058013916
1696179791.9648511,2.2696473598480225,3.584730625152588,2.875108480453491,3.7279818058013916
1696179792.000067,2.2696473598480225,3.585994243621826,2.875187397003174,3.728534698486328
1696179792.0357907,2.2696473598480225,3.5866260528564453,2.8752665519714355,3.7282187938690186
1696179792.0722601,2.269726276397705,3.5881264209747314,2.875345468521118,3.728139638900757
1696179792.1084359,2.269726276397705,3.5891530513763428,2.875345468521118,3.7288506031036377
1696179792.1445265,2.269726276397705,3.5897057056427,2.875345468521118,3.728771448135376
1696179792.1796281,2.2696473598480225,3.5887582302093506,2.875345468521118,3.7286136150360107
1696179792.2169976,2.26956844329834,3.5891530513763428,2.875424385070801,3.728060722351074
1696179792.248659,2.26956844329834,3.5894689559936523,2.8752665519714355,3.727902889251709
1696179792.281413,2.26956844329834,3.590416431427002,2.875108480453491,3.7293243408203125
1696179792.3137794,2.269726276397705,3.592153787612915,2.875108480453491,3.728771448135376
1696179792.3467252,2.269331455230713,3.5927066802978516,2.875187397003174,3.7295613288879395
1696179792.3787205,2.2694106101989746,3.593022584915161,2.875187397003174,3.729166269302368
1696179792.4111595,2.26956844329834,3.5933384895324707,2.8750295639038086,3.7286925315856934
1696179792.4439154,2.2694106101989746,3.593654155731201,2.875108480453491,3.729166269302368
1696179792.476236,2.26956844329834,3.593891143798828,2.874950647354126,3.7293243408203125
1696179792.5091362,2.26956844329834,3.5925486087799072,2.8750295639038086,3.7288506031036377
1696179792.544634,2.26956844329834,3.5927066802978516,2.8752665519714355,3.7286136150360107
1696179792.576722,2.2694895267486572,3.592390775680542,2.8750295639038086,3.728297710418701
1696179792.6091676,2.2694895267486572,3.5950756072998047,2.875345468521118,3.7278239727020264
1696179792.6421638,2.2694106101989746,3.5949177742004395,2.875187397003174,3.729166269302368
1696179792.6745076,2.269726276397705,3.5945229530334473,2.875187397003174,3.7290873527526855
1696179792.707012,2.2694895267486572,3.5960233211517334,2.875424385070801,3.7286925315856934
1696179792.7396657,2.26956844329834,3.5962603092193604,2.875345468521118,3.728534698486328
1696179792.772248,2.2694895267486572,3.5973658561706543,2.8752665519714355,3.728139638900757
1696179792.8052595,2.2694895267486572,3.5973658561706543,2.8750295639038086,3.728771448135376
1696179792.8376782,2.2696473598480225,3.5986294746398926,2.8750295639038086,3.729008436203003
1696179792.8744757,2.2696473598480225,3.5993402004241943,2.8750295639038086,3.7286925315856934
1696179792.9053335,2.269805431365967,3.600682497024536,2.8750295639038086,3.7284555435180664
1696179792.9395058,2.26956844329834,3.60115647315979,2.875345468521118,3.7289295196533203
1696179792.9764736,2.269726276397705,3.602893829345703,2.8752665519714355,3.728534698486328
1696179793.0128815,2.2696473598480225,3.602419853210449,2.875345468521118,3.728376626968384
1696179793.0493588,2.2696473598480225,3.6023409366607666,2.875345468521118,3.7277448177337646
1696179793.084894,2.2694895267486572,3.6030516624450684,2.875345468521118,3.7286136150360107
1696179793.12009,2.2696473598480225,3.6034464836120605,2.8752665519714355,3.728376626968384
1696179793.1540935,2.26956844329834,3.6021831035614014,2.8748714923858643,3.728297710418701
1696179793.1876369,2.2696473598480225,3.602262020111084,2.875187397003174,3.7289295196533203
1696179793.2240787,2.2696473598480225,3.603130578994751,2.875345468521118,3.7289295196533203
1696179793.2568653,2.2694895267486572,3.602498769760132,2.875187397003174,3.7282187938690186
1696179793.2895157,2.2696473598480225,3.602893829345703,2.875108480453491,3.7286925315856934
1696179793.322163,2.26956844329834,3.6040782928466797,2.875108480453491,3.728297710418701
1696179793.3546867,2.269805431365967,3.6034464836120605,2.875187397003174,3.728297710418701
1696179793.3871977,2.26956844329834,3.603367567062378,2.875187397003174,3.7286136150360107
1696179793.4203172,2.26956844329834,3.6038413047790527,2.8752665519714355,3.7275869846343994
1696179793.4528656,2.2694895267486572,3.60376238822937,2.8748714923858643,3.7284555435180664
1696179793.4857733,2.2696473598480225,3.604630947113037,2.874950647354126,3.729008436203003
1696179793.5185585,2.26956844329834,3.604710102081299,2.875108480453491,3.728060722351074
1696179793.5562205,2.2696473598480225,3.605104923248291,2.875108480453491,3.7277448177337646
1696179793.5874257,2.2694895267486572,3.6054208278656006,2.875187397003174,3.728060722351074
1696179793.6206357,2.2694895267486572,3.603999376296997,2.875187397003174,3.7282187938690186
1696179793.6572638,2.2696473598480225,3.605499744415283,2.875187397003174,3.7282187938690186
1696179793.694053,2.2694895267486572,3.604236125946045,2.875108480453491,3.7279818058013916
1696179793.7314525,2.2694106101989746,3.604630947113037,2.8748714923858643,3.7284555435180664
1696179793.7670832,2.2694895267486572,3.604236125946045,2.8750295639038086,3.728139638900757
1696179793.8023489,2.26956844329834,3.6043152809143066,2.875424385070801,3.7279818058013916
1696179793.8369153,2.2694895267486572,3.603367567062378,2.875108480453491,3.728376626968384
1696179793.871265,2.2696473598480225,3.604867935180664,2.875108480453491,3.7279818058013916
1696179793.9089127,2.2694895267486572,3.605973482131958,2.875108480453491,3.7286925315856934
1696179793.9398088,2.2694895267486572,3.604710102081299,2.8750295639038086,3.7286136150360107
1696179793.973662,2.2694106101989746,3.604630947113037,2.8752665519714355,3.7278239727020264
1696179794.0108483,2.26956844329834,3.6056575775146484,2.875187397003174,3.728139638900757
1696179794.0480447,2.269726276397705,3.6058945655822754,2.875187397003174,3.727508068084717
1696179794.084575,2.2696473598480225,3.606605291366577,2.875108480453491,3.727902889251709
1696179794.1201694,2.2696473598480225,3.6066842079162598,2.8752665519714355,3.7278239727020264
1696179794.1549995,2.26956844329834,3.6074740886688232,2.875424385070801,3.728376626968384
1696179794.189379,2.2696473598480225,3.607079029083252,2.875187397003174,3.7279818058013916
1696179794.2228599,2.2694106101989746,3.6078689098358154,2.875187397003174,3.7275869846343994
1696179794.260243,2.2696473598480225,3.6071581840515137,2.8755033016204834,3.728139638900757
1696179794.291314,2.26956844329834,3.6072371006011963,2.875345468521118,3.7275869846343994
1696179794.3257334,2.2696473598480225,3.606842279434204,2.875187397003174,3.727508068084717
1696179794.3641114,2.269726276397705,3.6085004806518555,2.875424385070801,3.728060722351074
1696179794.4014804,2.2696473598480225,3.608816385269165,2.875187397003174,3.7282187938690186
1696179794.4373083,2.2696473598480225,3.607710838317871,2.874950647354126,3.728060722351074
